year,category,sequence,shortname,circuit_name,rider,rider_name,team_name,bike_name,position,points,number,country,speed,time
2015,MotoGP,1,QAT,Losail,1762,"Rossi, Valentino",Movistar Yamaha MotoGP,Yamaha,1,25,46,IT,166.7,42'35.717
2015,MotoGP,1,QAT,Losail,2055,"Dovizioso, Andrea",Ducati Team,Ducati,2,20,4,IT,166.7,+0.174
2015,MotoGP,1,QAT,Losail,2158,"Iannone, Andrea",Ducati Team,Ducati,3,16,29,IT,166.5,+2.250
2015,MotoGP,1,QAT,Losail,2058,"Lorenzo, Jorge",Movistar Yamaha MotoGP,Yamaha,4,13,99,ES,166.5,+2.707
2015,MotoGP,1,QAT,Losail,2293,"Marquez, Marc",Repsol Honda Team,Honda,5,11,93,ES,166.2,+7.036
2015,MotoGP,1,QAT,Losail,2015,"Pedrosa, Dani",Repsol Honda Team,Honda,6,10,26,ES,166.0,+10.755
2015,MotoGP,1,QAT,Losail,2425,"Crutchlow, Cal",CWM LCR Honda,Honda,7,9,35,GB,165.9,+12.384
2015,MotoGP,1,QAT,Losail,2206,"Smith, Bradley",Monster Yamaha Tech 3,Yamaha,8,8,38,GB,165.8,+12.914
2015,MotoGP,1,QAT,Losail,2218,"Espargaro, Pol",Monster Yamaha Tech 3,Yamaha,9,7,44,ES,165.8,+13.031
2015,MotoGP,1,QAT,Losail,2383,"Hernandez, Yonny",Pramac Racing,Ducati,10,6,68,CO,165.5,+17.435
2015,MotoGP,1,QAT,Losail,2152,"Espargaro, Aleix",Team SUZUKI ECSTAR,Suzuki,11,5,41,ES,165.4,+19.901
2015,MotoGP,1,QAT,Losail,2464,"Petrucci, Danilo",Pramac Racing,Ducati,12,4,9,IT,165.1,+24.432
2015,MotoGP,1,QAT,Losail,2288,"Redding, Scott","EG 0,0 Marc VDS",Honda,13,3,45,GB,164.6,+32.032
2015,MotoGP,1,QAT,Losail,2428,"Viñales, Maverick",Team SUZUKI ECSTAR,Suzuki,14,2,25,ES,164.5,+33.463
2015,MotoGP,1,QAT,Losail,2052,"Barbera, Hector",Avintia Racing,Ducati,15,1,8,ES,164.5,+33.625
2015,MotoGP,1,QAT,Losail,2174,"Bradl, Stefan",Athinà Forward Racing,Yamaha Forward,16,0,6,DE,164.5,+33.944
2015,MotoGP,1,QAT,Losail,2093,"Hayden, Nicky",Aspar MotoGP Team,Honda,17,0,69,US,164.2,+38.970
2015,MotoGP,1,QAT,Losail,2142,"Laverty, Eugene",Aspar MotoGP Team,Honda,18,0,50,IE,163.7,+46.570
2015,MotoGP,1,QAT,Losail,2098,"Di Meglio, Mike",Avintia Racing,Ducati,19,0,63,FR,162.9,+59.211
2015,MotoGP,1,QAT,Losail,1981,"De Angelis, Alex",Octo IodaRacing Team,ART,20,0,15,SM,161.9,+1'14.981
2015,MotoGP,1,QAT,Losail,1854,"Melandri, Marco",Aprilia Racing Team Gresini,Aprilia,21,0,33,IT,159.9,+1'48.143
2015,MotoGP,1,QAT,Losail,2562,"Baz, Loris",Athinà Forward Racing,Yamaha Forward,22,0,76,FR,141.2,3 Laps
2015,MotoGP,1,QAT,Losail,2160,"Abraham, Karel",AB Motoracing,Honda,-1,0,17,CZ,163.8,1 Lap
2015,MotoGP,1,QAT,Losail,2445,"Miller, Jack",CWM LCR Honda,Honda,-1,0,43,AU,163.8,1 Lap
2015,MotoGP,1,QAT,Losail,2059,"Bautista, Alvaro",Aprilia Racing Team Gresini,Aprilia,-4,0,19,ES,,0 Lap
2015,MotoGP,2,AME,Texas,2293,"Marquez, Marc",Repsol Honda Team,Honda,1,25,93,ES,158.6,43'47.150
2015,MotoGP,2,AME,Texas,2055,"Dovizioso, Andrea",Ducati Team,Ducati,2,20,4,IT,158.5,+2.354
2015,MotoGP,2,AME,Texas,1762,"Rossi, Valentino",Movistar Yamaha MotoGP,Yamaha,3,16,46,IT,158.4,+3.120
2015,MotoGP,2,AME,Texas,2058,"Lorenzo, Jorge",Movistar Yamaha MotoGP,Yamaha,4,13,99,ES,158.2,+6.682
2015,MotoGP,2,AME,Texas,2158,"Iannone, Andrea",Ducati Team,Ducati,5,11,29,IT,158.1,+7.584
2015,MotoGP,2,AME,Texas,2206,"Smith, Bradley",Monster Yamaha Tech 3,Yamaha,6,10,38,GB,158.0,+10.557
2015,MotoGP,2,AME,Texas,2425,"Crutchlow, Cal",CWM LCR Honda,Honda,7,9,35,GB,157.6,+16.967
2015,MotoGP,2,AME,Texas,2152,"Espargaro, Aleix",Team SUZUKI ECSTAR,Suzuki,8,8,41,ES,157.5,+19.025
2015,MotoGP,2,AME,Texas,2428,"Viñales, Maverick",Team SUZUKI ECSTAR,Suzuki,9,7,25,ES,156.3,+38.570
2015,MotoGP,2,AME,Texas,2464,"Petrucci, Danilo",Pramac Racing,Ducati,10,6,9,IT,156.1,+41.796
2015,MotoGP,2,AME,Texas,2006,"Aoyama, Hiroshi",Repsol Honda Team,Honda,11,5,7,JP,155.8,+47.199
2015,MotoGP,2,AME,Texas,2052,"Barbera, Hector",Avintia Racing,Ducati,12,4,8,ES,155.8,+47.339
2015,MotoGP,2,AME,Texas,2093,"Hayden, Nicky",Aspar MotoGP Team,Honda,13,3,69,US,155.3,+56.484
2015,MotoGP,2,AME,Texas,2445,"Miller, Jack",CWM LCR Honda,Honda,14,2,43,AU,155.2,+56.731
2015,MotoGP,2,AME,Texas,2059,"Bautista, Alvaro",Aprilia Racing Team Gresini,Aprilia,15,1,19,ES,155.2,+57.372
2015,MotoGP,2,AME,Texas,2142,"Laverty, Eugene",Aspar MotoGP Team,Honda,16,0,50,IE,155.1,+58.898
2015,MotoGP,2,AME,Texas,2562,"Baz, Loris",Athinà Forward Racing,Yamaha Forward,17,0,76,FR,154.5,+1'08.787
2015,MotoGP,2,AME,Texas,1981,"De Angelis, Alex",Octo IodaRacing Team,ART,18,0,15,SM,153.8,+1'22.236
2015,MotoGP,2,AME,Texas,2160,"Abraham, Karel",AB Motoracing,Honda,-1,0,17,CZ,154.7,5 Laps
2015,MotoGP,2,AME,Texas,1854,"Melandri, Marco",Aprilia Racing Team Gresini,Aprilia,-1,0,33,IT,150.1,11 Laps
2015,MotoGP,2,AME,Texas,2383,"Hernandez, Yonny",Pramac Racing,Ducati,-1,0,68,CO,156.3,15 Laps
2015,MotoGP,2,AME,Texas,2098,"Di Meglio, Mike",Avintia Racing,Ducati,-1,0,63,FR,152.0,15 Laps
2015,MotoGP,2,AME,Texas,2288,"Redding, Scott","EG 0,0 Marc VDS",Honda,-1,0,45,GB,148.3,16 Laps
2015,MotoGP,2,AME,Texas,2174,"Bradl, Stefan",Athinà Forward Racing,Yamaha Forward,-1,0,6,DE,155.1,18 Laps
2015,MotoGP,2,AME,Texas,2218,"Espargaro, Pol",Monster Yamaha Tech 3,Yamaha,-4,0,44,ES,,0 Lap
2015,MotoGP,3,ARG,Río Hondo,1762,"Rossi, Valentino",Movistar Yamaha MotoGP,Yamaha,1,25,46,IT,173.3,41'35.644
2015,MotoGP,3,ARG,Río Hondo,2055,"Dovizioso, Andrea",Ducati Team,Ducati,2,20,4,IT,172.9,+5.685
2015,MotoGP,3,ARG,Río Hondo,2425,"Crutchlow, Cal",CWM LCR Honda,Honda,3,16,35,GB,172.7,+8.298
2015,MotoGP,3,ARG,Río Hondo,2158,"Iannone, Andrea",Ducati Team,Ducati,4,13,29,IT,172.7,+8.352
2015,MotoGP,3,ARG,Río Hondo,2058,"Lorenzo, Jorge",Movistar Yamaha MotoGP,Yamaha,5,11,99,ES,172.6,+10.192
2015,MotoGP,3,ARG,Río Hondo,2206,"Smith, Bradley",Monster Yamaha Tech 3,Yamaha,6,10,38,GB,171.9,+19.876
2015,MotoGP,3,ARG,Río Hondo,2152,"Espargaro, Aleix",Team SUZUKI ECSTAR,Suzuki,7,9,41,ES,171.6,+24.333
2015,MotoGP,3,ARG,Río Hondo,2218,"Espargaro, Pol",Monster Yamaha Tech 3,Yamaha,8,8,44,ES,171.4,+27.670
2015,MotoGP,3,ARG,Río Hondo,2288,"Redding, Scott","EG 0,0 Marc VDS",Honda,9,7,45,GB,170.9,+34.397
2015,MotoGP,3,ARG,Río Hondo,2428,"Viñales, Maverick",Team SUZUKI ECSTAR,Suzuki,10,6,25,ES,170.9,+34.808
